"Core_Speed","L2_Cache","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","TMUs","Texture_Rate","Release_Date"
NA,256,50,2048,64,1000,48,37,"01-Jun-2014 "
715,256,35,2048,64,1000,24,17,"09-Jan-2014 "
800,256,35,2048,32,1000,24,20,"09-Jan-2014 "
940,256,35,2048,16,1000,24,24,"11-Jun-2014 "
620,256,35,4096,28.8,900,24,17,"09-Jan-2014 "
725,256,30,4096,32,1000,24,20,"09-Jan-2014 "
925,256,20,4096,16,1000,20,19,"12-Oct-2014 "
NA,0,17,1024,14.4,900,20,12,"01-Nov-2013 "
NA,0,13,1024,14.4,900,20,10,"01-Nov-2013 "
780,256,20,4096,16,1000,20,17,"01-Jan-2014 "
1000,256,NA,2048,16,1000,24,25,"18-Sep-2014 "
NA,0,NA,256,12.8,400,NA,NA,"01-Jun-2007 "
NA,0,NA,NA,6.4,400,4,2,"01-Feb-2007 "
NA,0,NA,256,32,500,NA,NA,"01-Mar-2006 "
NA,0,NA,256,30.1,470,NA,NA,"11-Jan-2007 "
NA,0,NA,128,12.8,400,NA,NA,"01-Mar-2007 "
NA,0,NA,128,8,250,NA,NA,"19-Jan-2006 "
NA,0,NA,128,8,250,NA,NA,"19-Jan-2006 "
900,512,75,4096,88,1375,56,56,"09-Jun-2015 "
1000,512,75,4096,96,1500,48,48,"09-Jun-2015 "
NA,0,NA,256,15,470,NA,NA,"01-Feb-2006 "
1000,512,75,4096,96,1500,56,62,"09-Jun-2015 "
900,256,75,4096,72,1125,40,37,"09-Jun-2015 "
NA,0,50,4096,64,1000,32,30,"09-Jun-2015 "
625,256,50,4096,64,1000,40,25,"09-Jun-2015 "
943,256,25,2048,16,1000,20,20,"05-May-2015 "
1000,256,75,2048,35.2,1100,40,41,"05-May-2015 "
1000,256,50,2048,17.6,1100,24,24,"05-May-2015 "
NA,0,NA,256,12.8,400,NA,NA,"02-Jan-2006 "
1000,256,50,4096,17.6,1100,24,24,"05-May-2015 "
NA,0,NA,128,6.3,392,4,2,"18-Sep-2006 "
1070,256,25,2048,17.6,1100,20,21,"21-Oct-2015 "
1000,256,25,2048,16,1000,20,21,"05-May-2015 "
780,256,20,2048,16,1000,20,17,"05-May-2015 "
1000,256,25,4096,16,1000,20,21,"05-May-2015 "
900,512,75,4096,88,1375,56,56,"13-May-2016 "
1000,512,75,4096,96,1500,56,62,"13-May-2016 "
NA,0,14,NA,10.7,333,NA,NA,"01-May-2007 "
NA,0,12,NA,17.1,533,NA,NA,"01-Sep-2008 "
NA,0,NA,128,2,250,NA,NA,"01-Nov-2005 "
1070,256,25,4096,17.6,1100,20,21,"21-Oct-2015 "
NA,0,NA,NA,NA,NA,NA,NA,"01-Feb-2004 "
NA,0,35,NA,17.1,533,NA,NA,"30-Sep-2010 "
NA,0,NA,128,4,250,NA,NA,"01-Jun-2004 "
NA,0,NA,128,11.2,350,NA,NA,"01-Mar-2005 "
NA,0,NA,NA,NA,166,NA,NA,"01-Feb-2004 "
NA,0,18,NA,12.8,400,NA,NA,"30-Dec-2010 "
NA,0,18,NA,12.8,400,NA,NA,"30-May-2010 "
NA,0,35,NA,17.1,533,NA,NA,"30-Sep-2010 "
NA,0,35,NA,17.1,533,NA,NA,"30-Mar-2011 "
NA,0,35,NA,17.1,533,NA,NA,"30-Mar-2010 "
NA,0,35,NA,17.1,533,NA,NA,"30-Mar-2010 "
NA,0,35,NA,17.1,533,NA,NA,"30-Sep-2010 "
NA,0,35,NA,17.1,533,NA,NA,"30-Mar-2010 "
NA,0,35,NA,17.1,533,NA,NA,"30-May-2010 "
300,512,15,NA,34.1,1067,16,16,"01-Sep-2015 "
350,1024,35,NA,34.1,1067,16,15,"01-Sep-2015 "
300,512,15,NA,29.9,933,8,8,"05-Jan-2015 "
300,512,15,NA,34.1,1067,16,16,"01-Sep-2015 "
200,512,15,NA,25.6,800,8,8,"02-Jun-2013 "
200,512,15,NA,25.6,800,8,8,"14-Apr-2014 "
350,1024,35,NA,34.1,1067,16,15,"01-Sep-2015 "
300,512,15,NA,29.9,933,8,8,"05-Jan-2015 "
200,512,15,NA,25.6,800,8,8,"14-Apr-2014 "
400,512,47,NA,25.6,800,4,5,"14-Apr-2014 "
400,512,47,NA,25.6,800,4,5,"20-Jul-2014 "
400,512,47,NA,25.6,800,4,5,"01-Sep-2013 "
200,512,15,NA,25.6,800,4,4,"02-Jun-2014 "
NA,0,35,NA,21.3,667,NA,NA,"30-Mar-2011 "
NA,0,35,NA,21.3,667,NA,NA,"02-Nov-2011 "
NA,0,17,NA,21.3,667,NA,NA,"30-May-2011 "
NA,0,35,NA,17.1,533,NA,NA,"30-Sep-2010 "
NA,0,35,NA,21.3,667,NA,NA,"30-Mar-2011 "
NA,0,NA,NA,17.1,533,NA,NA,"30-Mar-2010 "
400,512,47,NA,25.6,800,4,5,"01-Sep-2013 "
NA,0,35,NA,8.5,533,NA,NA,"30-Sep-2010 "
300,512,5,NA,29.9,933,16,14,"01-Sep-2015 "
300,512,5,NA,29.9,933,16,14,"01-Sep-2015 "
300,512,5,NA,29.9,933,16,16,"01-Sep-2015 "
